demand_index,time_slot,day_of_week,competition_pressure,operational_cost,seasonality_index,marketing_intensity,dynamic_price,time_slot_sin,time_slot_cos,day_of_week_sin,day_of_week_cos
89.0,27,3,0.09,99.7,0.88,0.88,363.6531156133614,-0.22252093395631464,0.9749279121818235,0.43388373911755823,-0.900968867902419
67.5,20,7,0.98,184.11,0.55,0.88,440.05259930771314,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
46.0,1,8,0.19,104.24,1.24,0.815,296.0860053370559,0.2225209339563144,0.9749279121818236,0.7818314824680296,0.6234898018587337
78.0,15,2,0.91,102.99,1.1,0.75,325.16995042731645,-0.22252093395631384,-0.9749279121818237,0.9749279121818236,-0.22252093395631434
70.5,20,8,1.01,174.56,0.59,0.38,164.46573871405838,-0.9749279121818236,-0.2225209339563146,0.7818314824680296,0.6234898018587337
63.0,20,3,1.36,131.42,0.9955188679245284,0.72,327.1854339222728,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
86.0,26,7,0.73,155.25,1.11,0.36,373.8926775144977,-0.4338837391175575,0.9009688679024194,-2.4492935982947064e-16,1.0
61.5,14,5,1.31,73.04,1.28,-0.0,319.1679074207636,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
37.0,10,5,0.7994440767703508,140.94,1.13,0.36,297.87594966900167,0.7818314824680299,-0.6234898018587335,-0.9749279121818236,-0.2225209339563146
76.0,20,0,0.44,90.31,0.65,0.28,307.186644231953,-0.9749279121818236,-0.2225209339563146,0.0,1.0
93.0,10,0,0.7994440767703508,94.98,0.94,0.87,367.7417499735196,0.7818314824680299,-0.6234898018587335,0.0,1.0
106.0,15,3,0.47,119.92,0.53,0.0,359.61441667352943,-0.22252093395631384,-0.9749279121818237,0.43388373911755823,-0.900968867902419
27.0,20,2,0.7994440767703508,158.68,0.58,0.64,252.37361445968637,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
53.0,13,8,1.55,110.01,0.62,0.56,224.5178676568096,0.2225209339563141,-0.9749279121818237,0.7818314824680296,0.6234898018587337
12.0,24,1,0.88,215.78875000000002,0.62,0.48,207.4787605673437,-0.7818314824680299,0.6234898018587334,0.7818314824680298,0.6234898018587336
91.0,2,7,0.53,143.33,1.28,0.8,399.9948075276067,0.4338837391175581,0.9009688679024191,-2.4492935982947064e-16,1.0
63.0,5,6,0.85,164.39,1.4,1.16,351.2906059842442,0.9009688679024191,0.4338837391175582,-0.7818314824680299,0.6234898018587334
58.0,20,7,0.48,133.57,0.98,0.2,322.6870305146854,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
76.0,20,6,0.7994440767703508,101.61,0.66,0.14,299.649883633092,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
48.0,20,2,0.7994440767703508,161.88,0.9955188679245284,0.08,228.39107536615248,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
29.0,23,2,0.07,107.83,1.01,0.9,301.65985468466295,-0.9009688679024193,0.43388373911755795,0.9749279121818236,-0.22252093395631434
35.0,16,2,0.87,109.07,1.0,0.57,180.65532473206343,-0.433883739117558,-0.9009688679024191,0.9749279121818236,-0.22252093395631434
49.5,11,6,0.7994440767703508,132.03,0.79,1.15,172.86713982531356,0.6234898018587339,-0.7818314824680295,-0.7818314824680299,0.6234898018587334
64.0,20,0,0.97,99.47,1.14,1.1099999999999999,285.24567990386475,-0.9749279121818236,-0.2225209339563146,0.0,1.0
46.0,16,6,1.23,109.57,1.22,1.07,307.760330756211,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334
64.0,10,6,1.38,148.02,0.77,1.12,282.294073817139,0.7818314824680299,-0.6234898018587335,-0.7818314824680299,0.6234898018587334
27.0,20,7,0.4,179.58,0.68,1.135,288.1566499816615,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
115.0,22,0,0.79,198.73,0.83,1.15,408.8433048382802,-0.9749279121818238,0.22252093395631334,0.0,1.0
85.0,20,1,1.26,90.58,1.09,1.19,294.8017197072697,-0.9749279121818236,-0.2225209339563146,0.7818314824680298,0.6234898018587336
79.0,25,2,0.55,21.818749999999994,1.07,0.49,266.10744332250124,-0.6234898018587337,0.7818314824680297,0.9749279121818236,-0.22252093395631434
75.5,6,3,0.19,79.74,1.45,0.33,378.0813610699426,0.9749279121818236,0.22252093395631445,0.43388373911755823,-0.900968867902419
72.0,7,2,0.7994440767703508,90.65,1.49,0.275,351.7537220498842,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
82.0,20,4,1.02,119.9,1.41,0.22,356.6171508834988,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
