ticket_text,category
App crashes when opening,delivery
Delivery address incorrect,delivery
???,payment
,bug
App crashes when opening,account
Cannot reset my password,account
,bug
Card charged twice,payment
,payment
Bug in dashboard analytics,delivery
Card charged twice,delivery
Bug in dashboard analytics,bug
Card charged twice,account
Delivery address incorrect,account
Payment was rejected,bug
Feature request,delivery
Bug in dashboard analytics,payment
Card charged twice,delivery
Payment was rejected,delivery
Card charged twice,delivery
Login page shows error 500,payment
App crashes when opening,bug
Order delayed for 3 days,bug
Payment was rejected,payment
Bug in dashboard analytics,account
???,account
Order delayed for 3 days,bug
N/A,bug
App crashes when opening,bug
???,bug
Cannot reset my password,bug
N/A,account
Card charged twice,delivery
Account suspended without reason,delivery
Login page shows error 500,
Account suspended without reason,account
???,bug
Delivery address incorrect,account
Order delayed for 3 days,payment
???,payment
Order delayed for 3 days,delivery
???,bug
Card charged twice,account
Login page shows error 500,delivery
,delivery
App crashes when opening,payment
Payment was rejected,delivery
???,delivery
Delivery address incorrect,account
,bug
Cannot reset my password,bug
,delivery
Account suspended without reason,other
Login page shows error 500,delivery
Feature request,delivery
Order delayed for 3 days,account
Card charged twice,bug
Login page shows error 500,bug
Feature request,account
Account suspended without reason,account
Order delayed for 3 days,
Feature request,other
Card charged twice,delivery
Card charged twice,account
???,other
Card charged twice,bug
Account suspended without reason,bug
,bug
N/A,payment
Cannot reset my password,payment
,account
Delivery address incorrect,account
Feature request,delivery
N/A,other
Payment was rejected,delivery
Login page shows error 500,payment
Bug in dashboard analytics,bug
App crashes when opening,
Bug in dashboard analytics,other
Bug in dashboard analytics,payment
N/A,delivery
Order delayed for 3 days,delivery
Card charged twice,other
App crashes when opening,other
Delivery address incorrect,delivery
Payment was rejected,payment
Order delayed for 3 days,payment
,bug
Bug in dashboard analytics,bug
Order delayed for 3 days,bug
???,payment
Card charged twice,account
App crashes when opening,payment
Card charged twice,
???,payment
App crashes when opening,other
Login page shows error 500,delivery
,payment
Bug in dashboard analytics,other
N/A,payment
Bug in dashboard analytics,bug
Card charged twice,payment
,bug
Bug in dashboard analytics,payment
Card charged twice,other
Card charged twice,account
Feature request,bug
Account suspended without reason,account
,payment
Feature request,payment
???,account
Login page shows error 500,delivery
Delivery address incorrect,bug
App crashes when opening,delivery
App crashes when opening,account
,delivery
Delivery address incorrect,account
Payment was rejected,bug
,delivery
Cannot reset my password,bug
,bug
Account suspended without reason,bug
Delivery address incorrect,payment
Account suspended without reason,delivery
Delivery address incorrect,account
Feature request,delivery
Feature request,other
,delivery
,delivery
Delivery address incorrect,account
Card charged twice,payment
???,bug
Payment was rejected,other
Bug in dashboard analytics,account
Delivery address incorrect,bug
,bug
Card charged twice,payment
Bug in dashboard analytics,other
Login page shows error 500,delivery
Account suspended without reason,payment
Cannot reset my password,account
Bug in dashboard analytics,payment
Feature request,payment
N/A,payment
???,delivery
Delivery address incorrect,account
,
Order delayed for 3 days,bug
Payment was rejected,account
Order delayed for 3 days,delivery
Payment was rejected,delivery
Feature request,delivery
Payment was rejected,account
,account
Order delayed for 3 days,payment
???,account
App crashes when opening,account
Order delayed for 3 days,bug
Feature request,bug
,other
Order delayed for 3 days,delivery
Account suspended without reason,account
App crashes when opening,delivery
N/A,account
App crashes when opening,account
,
Cannot reset my password,account
,payment
Account suspended without reason,other
Payment was rejected,bug
,delivery
Delivery address incorrect,delivery
Payment was rejected,delivery
Delivery address incorrect,bug
???,payment
,payment
Feature request,delivery
Bug in dashboard analytics,bug
Card charged twice,account
Payment was rejected,payment
Bug in dashboard analytics,delivery
Order delayed for 3 days,bug
Bug in dashboard analytics,other
